symbol,mpid,firm_name,add_count,cancel_count,execute_count,trade_count,total_shares_added,total_shares_executed,total_shares_traded,first_seen_timestamp,last_seen_timestamp,add_to_execute_count,add_to_execute_avg_ns,add_to_execute_min_ns,add_to_execute_max_ns,add_to_cancel_count,add_to_cancel_avg_ns,add_to_cancel_min_ns,add_to_cancel_max_ns,reaction_to_trade_count,reaction_to_trade_avg_ns,reaction_to_trade_min_ns,reaction_to_trade_max_ns,reaction_to_execute_count,reaction_to_execute_avg_ns,reaction_to_execute_min_ns,reaction_to_execute_max_ns
T,UNKNOWN,,4689,4329,511,0,2900187,156076,0,57000361518426,57599959808140,511,29431402331,8682,308381760541,0,,,,4319,1811950196,596,22439421002,4300,9730670263,429,76184119185
T,UBSS,UBS Securities LLC,1,0,0,0,100,0,0,57136234224736,57136234224736,0,,,,0,,,,1,7466426963,7466426963,7466426963,1,39065186401,39065186401,39065186401
NVST,UNKNOWN,,1866,1545,374,0,213561,37344,0,57000362885992,57599906057850,374,10619845442,9191,231137444507,0,,,,1635,7816015700,812,61840518704,1702,6434921081,3605,46532450327
BTAL,UNKNOWN,,194,153,36,0,37996,1311,0,57000362936689,57599954230486,36,12862064734,3168,142627100411,0,,,,167,66778174369,25805,172912430619,33,94666079755,25386,115366820170
BTAL,FLTU,FLOW TRADERS US LLC,1,0,0,0,100,0,0,57198044716600,57198044716600,0,,,,0,,,,1,30276306905,30276306905,30276306905,0,,,
BTAL,UBSS,UBS Securities LLC,1,0,0,0,100,0,0,57262145421496,57262145421496,0,,,,0,,,,1,94377011801,94377011801,94377011801,0,,,
BTAL,CDRG,Citadel Securities LLC,2,0,0,0,200,0,0,57340681362407,57347183879701,0,,,,0,,,,2,635965,16705,1255225,0,,,
BTAL,VIRT,Virtu Americas LLC,1,0,0,0,100,0,0,57340713008557,57340713008557,0,,,,0,,,,1,31270750,31270750,31270750,0,,,
STKL,UNKNOWN,,662,464,84,0,182789,5233,0,57000363314869,57599997338474,84,113598248580,22361,435967645923,0,,,,599,16009106714,18022,70040945314,641,26964100437,9596,108205073206
STKL,UBSS,UBS Securities LLC,1,0,0,0,100,0,0,57250108012734,57250108012734,0,,,,0,,,,1,69868983606,69868983606,69868983606,1,49539284830,49539284830,49539284830
PIPR,UNKNOWN,,488,432,70,0,23342,1826,0,57000363392868,57599990603720,70,34030689523,33885,187213952339,0,,,,421,8345438829,4715,62150149982,435,35389631161,2520,153004716101
PIPR,GSCO,GOLDMAN SACHS & CO. LLC,2,0,0,0,200,0,0,57000680427990,57001136961607,0,,,,0,,,,0,,,,2,241629290,13362482,469896099
PIPR,FLTG,FLOW TRADERS U.S. LLC,2,0,0,0,200,0,0,57000763313007,57002527377508,0,,,,0,,,,1,213461102,213461102,213461102,2,978279749,96247499,1860312000
PIPR,WCHV,"WELLS FARGO SECURITIES, LLC",64,63,0,0,6400,0,0,57466460197805,57599550420692,0,,,,0,,,,1,12439394053,12439394053,12439394053,1,12073293086,12073293086,12073293086
PIPR,WBPX,"SUMMIT SECURITIES GROUP, LLC",49,46,0,0,4900,0,0,57581045720439,57599550423272,0,,,,0,,,,3,6523841796,597491480,9487039906,3,72188617121,69292857913,77980089635
LIDR,UNKNOWN,,494,47,26,0,503911,3010,0,57000363914133,57599654077699,26,15843013194,7334,136947697819,0,,,,473,53455433353,17861,173051173106,476,98094131891,10198,352120146056
SARO,UNKNOWN,,709,589,149,0,50693,8826,0,57000364218921,57599408151289,149,35948581504,2094,230900011620,0,,,,633,12943734806,1209,62105897066,634,15401901323,466,71555349800
BTSGU,UNKNOWN,,502,740,1,0,43371,9,0,57000364256842,57599952906652,1,19717952,19717952,19717952,0,,,,262,65987975945,840701451,112751676111,80,4143318233,1574052,11800233328
BTSGU,GSCO,GOLDMAN SACHS & CO. LLC,27,23,0,0,5400,0,0,57199856245644,57491697382856,0,,,,0,,,,11,1771371335,1093171798,4495718828,0,,,
BTSGU,VIRT,Virtu Americas LLC,12,10,0,0,1200,0,0,57199863220753,57495008220780,0,,,,0,,,,6,3357218934,1115484246,7806977155,0,,,
AZ,UNKNOWN,,141,43,6,0,66331,328,0,57000364608845,57599171640288,6,100009921531,52959533677,215701310687,0,,,,109,60837196769,597733,210866527829,109,231504661136,11515,384734653970
FLOT,UNKNOWN,,49,44,0,0,126297,0,0,57000364926575,57599322758684,0,,,,0,,,,34,42796796153,1703735,179459196694,0,,,
FLOT,UBSS,UBS Securities LLC,3,2,0,0,300,0,0,57133289789673,57258118075314,0,,,,0,,,,3,27925609262,27774368810,28221466600,0,,,
JPME,UNKNOWN,,399,387,0,0,245423,0,0,57000365927211,57599845772856,0,,,,0,,,,346,261288576137,586640999,599122767823,0,,,
